Description:,"Celsius-based heating degree days with a base temperature of 15.5 C"
Source:,"www.degreedays.net"
Accuracy:,"No problems detected"
Station:,"Dublin Airport, IE (6.30W,53.42N)"
Station ID:,EIDW

Date,HDD 15.5
2022-04-01,12.4
2022-04-02,10.9
2022-04-03,10.6
2022-04-04,4.6
2022-04-05,5.4
2022-04-06,7.5
2022-04-07,8.5
2022-04-08,12.6
2022-04-09,11.1
2022-04-10,9.4
2022-04-11,5.8
2022-04-12,7.1
2022-04-13,3.9
2022-04-14,5.2
2022-04-15,3.3
2022-04-16,4.5
2022-04-17,5
2022-04-18,7.7
2022-04-19,8.6
2022-04-20,8.8
2022-04-21,5.8
2022-04-22,5.3
2022-04-23,5.6
2022-04-24,5.7
2022-04-25,7.3
2022-04-26,7.7
2022-04-27,8.6
2022-04-28,9.6
2022-04-29,8.8
2022-04-30,5.8
2022-05-01,5.1
2022-05-02,4.9
2022-05-03,3
2022-05-04,2.9
2022-05-05,2.6
2022-05-06,2.6
2022-05-07,5.2
2022-05-08,3.7
2022-05-09,2.3
2022-05-10,3.2
2022-05-11,4
2022-05-12,5.1
2022-05-13,2.6
2022-05-14,2.9
2022-05-15,2.5
2022-05-16,1.4
2022-05-17,2.9
2022-05-18,2.7
2022-05-19,3.1
2022-05-20,2.5
2022-05-21,2.5
2022-05-22,1.8
2022-05-23,4.2
2022-05-24,3.7
2022-05-25,2.6
2022-05-26,2.3
2022-05-27,4.2
2022-05-28,5.5
2022-05-29,6.5
2022-05-30,6.3
2022-05-31,6.2
2022-06-01,4.5
2022-06-02,4.6
2022-06-03,3.4
2022-06-04,3
2022-06-05,4.6
2022-06-06,3.4
2022-06-07,4.1
2022-06-08,1.3
2022-06-09,2
2022-06-10,1.3
2022-06-11,1.9
2022-06-12,2.7
2022-06-13,2.6
2022-06-14,1.9
2022-06-15,1.6
2022-06-16,1.2
2022-06-17,0.3
2022-06-18,3.7
2022-06-19,3
2022-06-20,3
2022-06-21,1.3
2022-06-22,0.4
2022-06-23,0.3
2022-06-24,0.9
2022-06-25,2.7
2022-06-26,2.1
2022-06-27,2.7
2022-06-28,1.1
2022-06-29,1.6
2022-06-30,1.7
2022-07-01,1.7
2022-07-02,1.9
2022-07-03,2.1
2022-07-04,2
2022-07-05,1.1
2022-07-06,0.3
2022-07-07,0.5
2022-07-08,0.9
2022-07-09,0.1
2022-07-10,0.6
2022-07-11,1.6
2022-07-12,0
2022-07-13,1.6
2022-07-14,1.4
2022-07-15,0.4
2022-07-16,1.2
2022-07-17,0.2
2022-07-18,0.2
2022-07-19,0.1
2022-07-20,0.6
2022-07-21,1.1
2022-07-22,1.5
2022-07-23,0.1
2022-07-24,0
2022-07-25,0.4
2022-07-26,1.7
2022-07-27,2.6
2022-07-28,1.7
2022-07-29,0.9
2022-07-30,0
2022-07-31,0.7
2022-08-01,1.8
2022-08-02,0
2022-08-03,0.2
2022-08-04,2.4
2022-08-05,3
2022-08-06,2.6
2022-08-07,1.4
2022-08-08,2
2022-08-09,1.3
2022-08-10,1
2022-08-11,1.5
2022-08-12,1.3
2022-08-13,1
2022-08-14,0.9
2022-08-15,0.1
2022-08-16,1
2022-08-17,2.1
2022-08-18,0.5
2022-08-19,1.2
2022-08-20,0.6
2022-08-21,2
2022-08-22,0.2
2022-08-23,0
2022-08-24,0.8
2022-08-25,1.3
2022-08-26,1.4
2022-08-27,3
2022-08-28,1.7
2022-08-29,0.7
2022-08-30,1
2022-08-31,1.9
2022-09-01,0.6
2022-09-02,0.8
2022-09-03,1.8
2022-09-04,0.8
2022-09-05,0.4
2022-09-06,0.2
2022-09-07,0.3
2022-09-08,0.4
2022-09-09,1
2022-09-10,3
2022-09-11,1.4
2022-09-12,0.7
2022-09-13,4.2
2022-09-14,3.2
2022-09-15,2.7
2022-09-16,4.9
2022-09-17,6
2022-09-18,3.2
2022-09-19,1.8
2022-09-20,1
2022-09-21,0.9
2022-09-22,1.4
2022-09-23,4.9
2022-09-24,5.2
2022-09-25,5.2
2022-09-26,3.7
2022-09-27,4.9
2022-09-28,6
2022-09-29,4.2
2022-09-30,2.4
2022-10-01,2.8
2022-10-02,3
2022-10-03,1.4
2022-10-04,0.2
2022-10-05,4.2
2022-10-06,2.7
2022-10-07,3.3
2022-10-08,5.1
2022-10-09,3.5
2022-10-10,6.6
2022-10-11,4.5
2022-10-12,3.9
2022-10-13,5.5
2022-10-14,4.7
2022-10-15,5.8
2022-10-16,5.8
2022-10-17,3.1
2022-10-18,5.9
2022-10-19,3.1
2022-10-20,2.3
2022-10-21,1.5
2022-10-22,1.7
2022-10-23,1.9
2022-10-24,3.6
2022-10-25,2.9
2022-10-26,2.1
2022-10-27,1.2
2022-10-28,1.7
2022-10-29,2
2022-10-30,2.5
2022-10-31,2.3
2022-11-01,6.2
2022-11-02,5.3
2022-11-03,7.8
2022-11-04,8.2
2022-11-05,4.4
2022-11-06,4.9
2022-11-07,2.5
2022-11-08,5.1
2022-11-09,5.2
2022-11-10,0.9
2022-11-11,0.5
2022-11-12,1.9
2022-11-13,1.6
2022-11-14,4.8
2022-11-15,7.3
2022-11-16,9.2
2022-11-17,10.9
2022-11-18,9.3
2022-11-19,9.8
2022-11-20,8.9
2022-11-21,8.3
2022-11-22,12.3
2022-11-23,7.9
2022-11-24,7
2022-11-25,6.6
2022-11-26,2.9
2022-11-27,6.3
2022-11-28,8.9
2022-11-29,9.9
2022-11-30,7.6
2022-12-01,6.3
2022-12-02,8.1
2022-12-03,8.9
2022-12-04,9.6
2022-12-05,9
2022-12-06,11.1
2022-12-07,13.4
2022-12-08,15.1
2022-12-09,17.1
2022-12-10,15.9
2022-12-11,15.4
2022-12-12,16.9
2022-12-13,14.4
2022-12-14,14.7
2022-12-15,17.1
2022-12-16,15.3
2022-12-17,12.3
2022-12-18,7.8
2022-12-19,4.3
2022-12-20,8.4
2022-12-21,9.2
2022-12-22,10.8
2022-12-23,8.8
2022-12-24,7.8
2022-12-25,7.7
2022-12-26,12.5
2022-12-27,8.3
2022-12-28,7.8
2022-12-29,9.8
